NETWORK,PI,YEAR,MONTH,DAY,SITE,TRANSECT,SP_CODE,QUAD,SIDE,FISH.SIZE,COUNT,AREA,GROUP,DIVISION.FAMILY,COMMON.DIVISION.NAME,SIZE,COMMON.NAME,KINGDOM,PHYLUM,CLASS,ORDER,FAMILY,GENUS,SPECIES
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Broadway and 42nd,TAAD,NA,NA,YOY,1,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Devil's Dance Floor,TAAD,NA,NA,YOY,9,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Broad Cove,TAAD,NA,NA,0-10,16,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Norwegian Cove,TAAD,NA,NA,0-10,78,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Broadway and 42nd,TAAD,NA,NA,0-10,158,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Broadway and 42nd,TOAN,NA,NA,0-10,26,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Broadway and 42nd,POVI,NA,NA,0-10,3,80,Fish,Chordates,Fish,NA,Pollock,Animalia,Chordata,Actinopterygii,Gadiformes,Gadidae,Pollachius,Pollachius virens
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Devil's Dance Floor,TAAD,NA,NA,0-10,26,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Norwegian Cove,TAAD,NA,NA,10-50,5,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Broadway and 42nd,TAAD,NA,NA,10-50,18,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Broadway and 42nd,TOAN,NA,NA,10-50,1,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KEEN ONE,Byrnes,2018,8,28,NE Appledore,Devil's Dance Floor,TAAD,NA,NA,10-50,2,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,29,NW Appledore,8 Ball,TAAD,NA,NA,YOY,37,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,NW Appledore,Sandpiper Beach,TAAD,NA,NA,YOY,27,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,29,NW Appledore,North Head,TAAD,NA,NA,0-10,72,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,29,NW Appledore,North Head,MOSA,NA,NA,0-10,32,80,Fish,Chordates,Fish,NA,Striped Bass,Animalia,Chordata,Actinopterygii,Perciformes,Moronidae,Morone,Morone saxatilis
KEEN ONE,Byrnes,2018,8,29,NW Appledore,8 Ball,TAAD,NA,NA,0-10,60,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,NW Appledore,Larus Ledge,TAAD,NA,NA,0-10,21,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,NW Appledore,Sandpiper Beach,TAAD,NA,NA,0-10,21,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,NW Appledore,Larus Ledge,TAAD,NA,NA,10-50,2,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,NW Appledore,Sandpiper Beach,TAAD,NA,NA,10-50,2,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,SW Appledore,North Pepperrell,TAAD,NA,NA,YOY,55,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,North Smith's Cove,TAAD,NA,NA,YOY,28,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,South Pepperrell,TAAD,NA,NA,YOY,3,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,South Smith's Cove,TAAD,NA,NA,YOY,46,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,SW Appledore,North Pepperrell,TAAD,NA,NA,0-10,32,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,North Smith's Cove,TAAD,NA,NA,0-10,39,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,South Pepperrell,TAAD,NA,NA,0-10,14,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,South Smith's Cove,TAAD,NA,NA,0-10,13,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,30,SW Appledore,North Pepperrell,TAAD,NA,NA,10-50,7,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,North Smith's Cove,TAAD,NA,NA,10-50,3,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,South Pepperrell,TAAD,NA,NA,10-50,1,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
KEEN ONE,Byrnes,2018,8,31,SW Appledore,South Smith's Cove,TAAD,NA,NA,10-50,2,80,Fish,Chordates,Fish,NA,Cunner,Animalia,Chordata,Actinopterygii,Perciformes,Labridae,Tautogolabrus,Tautogolabrus adspersus
