Year,Transect,Level,Replicate,Data_taken,Note_header,Note_value,Source
1994,5,6,3,yes,Z2-Notes,6/12/97 TJF - students noted 10% cyanobacteria and 90% lichen mix,percent_cover
1994,5,10,1,yes,Z2-Notes,6/12/97 TJF - students recorded 50% cover of Mast. & Chondrus bases. I divided that percentage among the two according to their proportion in the canopy (.82 Mast. : .18 Chondrus).,percent_cover
1994,5,11,1,yes,Z2-Notes,6/12/97 TJF - students recorded that mussels were in lower canopy on Mast.  not on rock.,percent_cover
1994,5,11,3,yes,Z2-Notes,6/12/97 TJF - students recorded that mussels were in lower canopy on Mast.  not on rock.,percent_cover
1994,5,12,1,yes,Z2-Notes,6/12/97 TJF - students recorded that mussels were in upper and lower canopies  not on rock.,percent_cover
1994,5,12,2,yes,Z2-Notes,6/12/97 TJF - students recorded that mussels were in lower canopy on Chondrus & Mast.  not on rock.,percent_cover
1994,5,12,3,yes,Z2-Notes,6/12/97 TJF - students recorded that mussels were in lower canopy on Chondrus  not on rock.,percent_cover
1994,5,13,2,yes,Z2-Notes,6/12/97 TJF - students recorded that mussels were on rock and in lower canopy on Mast.,percent_cover
1994,5,13,3,yes,Z2-Notes,6/12/97 TJF - students recorded that mussels were in lower canopy on Chondrus.,percent_cover
1994,5,14,1,yes,Z2-Notes,6/12/97 TJF - added Chaetomorpha column,percent_cover
1994,5,14,2,yes,Z2-Notes,6/12/97 TJF - Leathesia is epiphytic on Chondrus,percent_cover
1995,5,7,3,yes,Z2-Notes,6/3/97 MND revised Hildenbrandia % cover from 93.8% (On original data sheet) to 55%. TJF changed her revision to 56% so that canopy would add up to 100%.,percent_cover
1995,5,8,2,yes,Z2-Notes,6/3/97 MND entered 15% for Hild. % cover. TJF changed it to 44%  which is the value that was recorded on origianl quadrat report form.,percent_cover
1995,5,8,3,yes,Z2-Notes,"6/3/97 MND entered 0%. TJF changed it to ""nd"" because students noted presence of 20 holdfasts  but no percentages.",percent_cover
1995,5,9,2,yes,Z2-Notes,"6/3/97 1 M. senile observed by students ""in crack in quadrat"" - not recorded because it is in crack.",percent_cover
1995,5,10,1,yes,Z2-Notes,"6/3/97 Asco canopy % cover is 100%. MND entered ""nd"" for Asco base %cover. If holdfasts of Asco canopy were outside quadrat  couldn't it be ""0""?",percent_cover
1995,5,11,2,yes,Z2-Notes,6/3/97 Students noted 10 Spirorbus  but didn't note percent cover or substrate.,percent_cover
1995,5,11,3,yes,Z2-Notes,"6/3/97 Classified as ""poor"" quality because of lack of algal base data",percent_cover
1995,5,12,2,yes,Z2-Notes,"6/2/97 Marked as level 12  replicate 1 on original ""Quadrat Report Form - Ecology."" I corrected it to read replicate 2 in blue ink.",percent_cover
1995,5,13,2,yes,Z2-Notes,"6/3/97 Classified as ""poor"" quality due to lach of base data for erect red algae",percent_cover
1995,5,14,1,yes,Z2-Notes,6/3/97 NB: This quadrat was frequently washed over by waves during measurement.  MND entered Leathesia canopy % cover data even though it is marked as epiphytic. 2/2008: MME: no Leathesia data in this column---deleted?,percent_cover
1995,5,14,2,yes,Z2-Notes,6/3/97 MND enterd 0.5% (trace) for Modioulus % cover. TJF revised it to 0% because students noted it as epiphytic on original quad report form.,percent_cover
1995,5,14,3,yes,Z2-Notes,6/3/97 Leathesia present (6%)  but not marked as epiphytic by students.,percent_cover
1997,5,8,1,yes,Z2-Notes,25 dead barnacles--2/2008 :MME: is this a percent cover or a count?,percent_cover
1997,5,9,1,yes,Z2-Notes,6 cm pool in quadrat,percent_cover
1997,5,9,3,yes,Z2-Notes,35 dead barnacles,percent_cover
1997,5,10,1,yes,Z2-Notes,50 dead barnacles;  18 cm ditch,percent_cover
1998,5,0,1,yes,Z2-Notes,data entered by MME  2/2008  following 1998 protocol except did not adjust percent covers to equal 100--interidal is 3-dimensional  only natural that total percent cover would exceed 100%,percent_cover
1998,5,7,2,yes,Z2-Notes,no basal cover given for Fucus  but still think holdfast was probably in quadrat b/c this student tended to list holfdast cover and basal cover separately for whatever reason…for example  in this relicate  no basal cover was lsited for Ascophyllum  but lower down on data sheet Ascophyllum holdfast was listed as representing 10% basal cover...bizarre...,percent_cover
1998,5,7,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,8,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,9,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,9,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,9,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,10,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,10,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,10,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,11,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,11,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,11,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,12,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,12,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,12,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,13,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,13,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,14,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,14,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,5,14,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1999,5,7,2,yes,Z2-Notes,Trace of Hildenbrandia  rubra present on walls of crack in bedrock.,percent_cover
1999,5,8,1,yes,Z2-Notes,M. edulis found among algal holdfasts.,percent_cover
1999,5,9,1,yes,Z2-Notes,Both mussel species found  but did not constitute any primary cover. Found among holdfasts. Encrusting Bryozoans constituted 67.5% primary cover.,percent_cover
1999,5,9,2,yes,Z2-Notes,Coralline crust = Phymatolithon.  Munched Ascophyllum.,percent_cover
1999,5,9,3,yes,Z2-Notes,Coralline crust = Phymatolithon.,percent_cover
1999,5,10,1,yes,Z2-Notes,"""   """,percent_cover
1999,5,10,3,yes,Z2-Notes,Tips of Ascophyllum very damaged.,percent_cover
1999,5,11,3,yes,Z2-Notes,Phymatolithon lenormandii and corallina officinalis found for coralline crusts.,percent_cover
1999,5,12,1,yes,Z2-Notes,Phymatolithon and Corallina found.,percent_cover
2000,5,2,1,yes,Z2-Notes,green Verr.,percent_cover
2000,5,3,1,yes,Z2-Notes,green Verr.,percent_cover
2000,5,3,2,yes,Z2-Notes,green Verr.,percent_cover
2000,5,3,3,yes,Z2-Notes,green Verr.,percent_cover
2000,5,5,1,yes,Z2-Notes,green Verr.,percent_cover
2000,5,7,1,yes,Z2-Notes,black Verr.,percent_cover
2000,5,7,2,yes,Z2-Notes,black Verr.,percent_cover
2000,5,7,3,yes,Z2-Notes,green Verr.,percent_cover
2000,5,8,1,yes,Z2-Notes,green Verr.,percent_cover
2000,5,8,2,yes,Z2-Notes,green Verr.,percent_cover
2000,5,8,3,yes,Z2-Notes,green Verr.,percent_cover
2000,5,9,1,yes,Z2-Notes,long Asco. canopy but juvenile hf,percent_cover
2000,5,10,2,yes,Z2-Notes,green Verr.,percent_cover
2000,5,15,1,yes,Z2-Notes,Removed Corallina to observe rock coverage.  Please see paper for results. Diversity is inflated.,percent_cover
2001,5,4,1,yes,Z2-Notes,few barnacles at this level,percent_cover
2001,5,6,1,yes,Z2-Notes,closer to weeds sloped,percent_cover
2001,5,6,2,yes,Z2-Notes,dead barnacles,percent_cover
2001,5,8,1,yes,Z2-Notes,start of weed zone,percent_cover
2001,5,8,3,yes,Z2-Notes,drift of corallina,percent_cover
2001,5,9,1,yes,Z2-Notes,drift of codium  rhizoclonium,percent_cover
2001,5,10,1,yes,Z2-Notes,rockweeds/yellow zone transition on outer rock,percent_cover
2001,5,11,1,yes,Z2-Notes,outside rock  dense holdfast  beginning yellow zone,percent_cover
2001,5,12,1,yes,Z2-Notes,yellow zone,percent_cover
2001,5,13,1,yes,Z2-Notes,on outer rock  yellow zone  size difference between mastocarpus and chondrus,percent_cover
2001,5,14,1,yes,Z2-Notes,lots of wave action  totally submerged,percent_cover
2004,5,0,1,yes,Z2-Notes,data entered by MME  2/2008  following 1998 protocol except did not adjust percent covers to equal 100--interidal is 3-dimensional  only natural that total percent cover would exceed 100%,percent_cover
2004,5,2,1,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,3,1,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,3,2,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,3,3,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,4,1,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,4,2,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,4,3,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,5,1,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,5,2,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,5,3,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,6,1,yes,Z2-Notes,black zone sp=Calothrix (16%) plus Verrucaria (10%),percent_cover
2004,5,6,2,yes,Z2-Notes,black zone sp=Calothrix,percent_cover
2004,5,6,3,yes,Z2-Notes,black zone sp=Calothrix (75%) plus Verrucaria (2%),percent_cover
2004,5,7,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,7,2,yes,Z2-Notes,students recorded that Verrucaria was black variety…not sure how to classify black variety under weird 1998 standards,percent_cover
2004,5,8,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,8,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,8,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,9,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,9,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,9,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,10,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,10,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,11,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,11,2,yes,Z2-Notes,coralline crust=Clathromorphum,percent_cover
2004,5,11,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,12,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,12,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,12,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,13,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,13,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,13,3,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,14,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
2004,5,14,2,yes,Z2-Notes,"""Corallina crust"" problem--recorded as Corallina officianalis base",percent_cover
2004,5,14,3,yes,Z2-Notes,"crust recorded as ""coralline crust…"" now really confused….is that the same as what they call corallina crust  or did they suddenly start following the 1998 protocol?",percent_cover
2005,5,12,3,yes,Z2-Notes,"note under shell hash: ""in with rock%""",percent_cover
1982,7,0,1,yes,Z2-Notes,"2/2008: MME: at transect 7 in 1982  some plants were not quantified as percent cover but rather as number of individuals…here those numbers are simply represented by ""nd"" (no data)  but if you ever want the numbers of indl plants  see the ""% Cover with # indl plants"" spreadsheet in the FMBE 1982 Transect 07.xls file....",percent_cover
1983,7,6,1,yes,Z2-Notes,Ulva: 3plants,percent_cover
1986,7,2,3,yes,Z2-Notes,2/2008: MME: levels in notes below appear to be off by one….the notes seem to be in the corect column  whoever was writing them just wrote down the wrong levels in the note?,percent_cover
1986,7,3,1,yes,Z2-Notes,Students only recorded one replicate for level 4  they did not specify % cover but just that organism was present.,percent_cover
1986,7,4,1,yes,Z2-Notes,Students only recorded one replicate for level 5  only noted presence of species.,percent_cover
1986,7,5,1,yes,Z2-Notes,Students only recorded one replicate for level 6  only noted presence of species.,percent_cover
1986,7,7,1,yes,Z2-Notes,Students only recorded one replicate for level 8  only noted presence of species.,percent_cover
1986,7,9,1,yes,Z2-Notes,Students only recorded one replicate for level 10  only noted presence of species.,percent_cover
1986,7,11,1,yes,Z2-Notes,Students only recorded one replicate for level 12  only noted the presence of species.,percent_cover
1986,7,12,1,yes,Z2-Notes,Students only recorded one replicate for level 13  only noted the presence of species.,percent_cover
1986,7,13,1,yes,Z2-Notes,Students only recorded one replicate for level 14  only noted the presence of species.,percent_cover
1987,7,10,1,yes,Z2-Notes,Students only recorded one replicate for level 11.,percent_cover
1987,7,11,1,yes,Z2-Notes,Students only recorded one replicate for level 12.,percent_cover
1987,7,13,1,yes,Z2-Notes,Students only recorded one replicate for level 14.,percent_cover
1987,7,14,1,yes,Z2-Notes,Students only recorded one replicate for level 15.  Also students noted that another 20% of M.edulis present but dead.,percent_cover
1987,7,15,1,yes,Z2-Notes,Students only recorded one replicate for level 16.,percent_cover
1988,7,4,1,yes,Z2-Notes,Students only recorded one replicate for level 5.,percent_cover
1988,7,7,1,yes,Z2-Notes,Students only recorded one replicate for level 8.,percent_cover
1988,7,8,1,yes,Z2-Notes,Students only recorded only one replicate for level 9.,percent_cover
1988,7,10,1,yes,Z2-Notes,Students only recorded one replicate for level 11.,percent_cover
1988,7,11,1,yes,Z2-Notes,Students only recorded one replicate for level 12.  translated students note of minute to .5%.,percent_cover
1988,7,13,1,yes,Z2-Notes,Students only recorded one replicate for level 14.  Translated students value of minute to .5%.,percent_cover
1988,7,14,1,yes,Z2-Notes,Students only recorded one replicate for level 15.  Translated students value of minute to .5%.,percent_cover
1989,7,10,1,yes,Z2-Notes,Students only recorded one replicate for level 11.,percent_cover
1989,7,11,1,yes,Z2-Notes,Students only recorded one replicate of level 12.,percent_cover
1993,7,9,3,yes,Z2-Notes,Students noted that there was another 20% of the substrate covered by dead Semibalanus balanoides.,percent_cover
1993,7,10,1,yes,Z2-Notes,Students noted that another 25% of the substrate was covered by dead Semibalanus balanoides.,percent_cover
1994,7,13,1,yes,Z2-Notes,add Ahnfeltia canopy: 18.75 percent 2/2008: MME: added Ahnfeltia canopy,percent_cover
1995,7,8,2,yes,Z2-Notes,Students noted that 25% of substrate cover was dead mussel shells.,percent_cover
1995,7,12,1,yes,Z2-Notes,Students noted that 25% of substrate was Cryptosula. 2/2008: MME: added Cryptosula data to column,percent_cover
1995,7,12,2,yes,Z2-Notes,Students noted that 6% of substrate was covered by Cryptosula and 2% was covered by Nucella eggs. 2/2008: MME: added Cryptosula data to column,percent_cover
1995,7,12,3,yes,Z2-Notes,Students noted that 13% of the substrate was covered by Cryptosula. 2/2008: MME: added Cryptosula data to column,percent_cover
1996,7,8,2,yes,Z2-Notes,Counted 3% on substrate as Nucella eggs  and 1% as Metridium Senile. 2/2008: MME: added Metridium column,percent_cover
1996,7,9,1,yes,Z2-Notes,Students wrote that 6% of subsrate cover was Sertularia.,percent_cover
1996,7,9,3,yes,Z2-Notes,Students wrote that 2.9% of the substrate was covered by Sertularia.,percent_cover
1996,7,10,2,yes,Z2-Notes,Students wrote that 71.25 of substrate were various different bryozoans  all category species.,percent_cover
1996,7,10,3,yes,Z2-Notes,76% of the rock is cover by bryozoan.,percent_cover
1996,7,11,1,yes,Z2-Notes,3% of rock cover was bryozoan and 3% was Nucella eggs  Mod. mod were present only on the chondrus not on substrate.,percent_cover
1996,7,12,1,yes,Z2-Notes,Students noted that 13% of substrate was covered by Membrinapora.,percent_cover
1996,7,13,1,yes,Z2-Notes,Students noted that 25% of substrate was covered by Membranipora.,percent_cover
1996,7,13,2,yes,Z2-Notes,Students noted that 6% of substrate was covered by Electra pilosa.,percent_cover
1998,7,0,1,yes,Z2-Notes,data entered by MME  2/2008  following 1998 protocol except did not adjust percent covers to equal 100--interidal is 3-dimensional  only natural that total percent cover would exceed 100%,percent_cover
1998,7,7,1,yes,Z2-Notes,Ascophyllum holdfast not in quadrat,percent_cover
1998,7,7,3,yes,Z2-Notes,Ascophyllum holdfast not in quadrat,percent_cover
1998,7,8,1,yes,Z2-Notes,sp of coralline crust=P. lenormandi,percent_cover
1998,7,8,2,yes,Z2-Notes,"also 6% rock cover of ""P. normani""--perhaps Pleurosigma normani   a diatom?",percent_cover
1998,7,9,2,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,7,10,1,yes,Z2-Notes,coralline crust=Phymatolithon,percent_cover
1998,7,11,1,yes,Z2-Notes,coralline crust=Clathromorphum,percent_cover
1998,7,11,2,yes,Z2-Notes,students recorded 80% F. vesiculosis cover but holdfast not in quadrat. Also recorded 22% Elachista on that Fucus,percent_cover
1998,7,11,3,yes,Z2-Notes,Coralline crust=Phymatolithon,percent_cover
1998,7,12,1,yes,Z2-Notes,Coralline crust=Phymatolithon,percent_cover
1998,7,12,2,yes,Z2-Notes,Coralline crust=Phymatolithon,percent_cover
1998,7,12,3,yes,Z2-Notes,students recorded 20% Mastocarpus cover but holdfast not in quadrat (?),percent_cover
1998,7,13,1,yes,Z2-Notes,students recorded 1% Mastocarpus cover but holdfast not in quadrat,percent_cover
1998,7,13,2,yes,Z2-Notes,Coralline crust=Phymatolithon,percent_cover
1998,7,13,3,yes,Z2-Notes,Phymatolithon=.5%  Clathromorphum-2.5%  entered as Coralline crust,percent_cover
1998,7,14,1,yes,Z2-Notes,coralline crust=Clathromorphum,percent_cover
1999,7,6,1,yes,Z2-Notes,Levels 1-5 not censused this year,percent_cover
2006,7,7,1,yes,Z2-Notes,Fucus base originally listed as Fucus vesiculosis base  but no Fucus vesic canopy was listed  so changed to Fucus sp base…2/2008 MME,percent_cover
2006,7,10,2,yes,Z2-Notes,2/2008: MME: Fucus vesic base listed 5% cover  ignored because there was already a larger value in the Fucus base column and if you included the Fucus vesic. base cover in total rock cover you got 105%  so that just seemed extra... plus there were two Fucus dist columns for some reason  other column said 35  went with larger value and deleted extra column,percent_cover
2006,7,11,3,yes,Z2-Notes,ulva species is lactuca,percent_cover
2006,7,12,3,yes,Z2-Notes,ulva species is lactuca,percent_cover
1982,15,6,1,yes,Z2-Notes,6/2/2005 EK Sb %cover reduced from 100% to 70%--2/2008: MME: changed back to 100…Hildenbrandia could be under barnacles…,percent_cover
1982,15,7,1,yes,Z2-Notes,6/2/2005 EK Sb %cover reduced from 90% to 68%--2/2008: MME: changed back to 90--Hildenbrandia could be under barnacles…,percent_cover
1983,15,7,1,yes,Z2-Notes,Fucus spiralis=65 plants,percent_cover
1983,15,8,1,yes,Z2-Notes,Fucus distuchus=1plant,percent_cover
1986,15,1,1,yes,Z2-Notes,8/7/97 TJF - % cover data of non-replicated levels are stated on ecology forms.,percent_cover
1987,15,10,1,yes,Z2-Notes,8/5/97 TJF - Primary % cover exceeded 100%  so I reduced Petrocelis %cover from 80% to 5% since students noted that Fucus base and Semibal grew on Petrocelis. I noted judgement in red ink on original quad report form; 2/2008: MME: changed data back to original values,percent_cover
1988,15,6,1,yes,Z2-Notes,8/5/97 TJF - Primary % cover added to 145%  so I reduced Black Zone %cover from 100% to 55% and noted judgement in red ink on original quad report form. 2/2008: MME: restored data to original values,percent_cover
1988,15,6,2,yes,Z2-Notes,8/5/97 TJF - Primary % cover added to 145%  so I reduced lichen mix %cover from 90% to 95% and noted judgement in red ink on original quad report form. I also divided the 45 % between Artho and Black Zone algae according to notes on Ecology form.,percent_cover
1988,15,6,3,yes,Z2-Notes,8/5/97 TJF - Primary % cover added to 125%  so I reduced lichen mix %cover from 100% to 75% and noted judgement in red ink on original quad report form.,percent_cover
1988,15,7,1,yes,Z2-Notes,8/5/97 TJF - Primary % cover added to 135%  so I reduced Artho %cover from 75% to 40% and noted judgement in red ink on original quad report form. 2/2008: MME: restored data to original values,percent_cover
1988,15,8,1,yes,Z2-Notes,8/5/97 TJF - Primary % cover added to 107%  so I reduced Semibal %cover from 65% to 59% and Mytilus from 40% to 39% and noted judgement in red ink on original quad report form. 2/2008: MME: restored data to original values,percent_cover
1989,15,15,1,yes,Z2-Notes,8/1/97 TJF - Students noted 30% Artho  40% Semibal.  and 40% Verr. I reduced Artho to 26% and Verr. to 34%. I noted correction in red ink on quad report form; 2/2008: MME: changed data back to original values,percent_cover
1990,15,6,1,yes,Z2-Notes,7/22/97 TJF - Students noted that Arthopyrenia covered 45% of Semibal.,percent_cover
1990,15,6,2,yes,Z2-Notes,7/22/97 TJF - Students noted that Arthopyrenia covered 75% of Semibal.,percent_cover
1990,15,6,3,yes,Z2-Notes,7/22/97 TJF - Students noted that Arthopyrenia covered 60% of Semibal.,percent_cover
1990,15,8,1,yes,Z2-Notes,7/22/97 TJF - Students noted that Arthopyrenia covered 50% of Semibal.,percent_cover
1990,15,9,1,yes,Z2-Notes,7/22/97 TJF - Students noted that Arthopyrenia covered 10% of Semibal.,percent_cover
1990,15,9,2,yes,Z2-Notes,7/22/97 TJF - Students noted that Arthopyrenia covered 10% of Semibal.,percent_cover
1990,15,9,3,yes,Z2-Notes,7/22/97 TJF - Students noted that Arthopyrenia covered 15% of Semibal.,percent_cover
1990,15,15,1,yes,Z2-Notes,7/22/97 TJF - Students noted 5% cyanobacteria  57% Artho  43% Semibal.  and 10% bare rock. I reduced Artho to 42% because they noted that some of it was growing on the barnacle tests. I noted correction in red ink on quad report form; 2/2008: MME: changed data back to original values,percent_cover
1991,15,3,1,yes,Z2-Notes,7/21/97 TJF - In replicates 1 and 2 of level 3  students did not differentiate %cover values among cyanobacteria  Artho  and Verrucaria  but simply noted that these three species covered 100% of the rock.,percent_cover
1991,15,4,1,yes,Z2-Notes,7/21/97 TJF - In this replicate  students did not differentiate %cover values among cyanobacteria  Artho  and Verrucaria  but simply noted that these three species covered 100% of the rock.,percent_cover
1991,15,5,2,yes,Z2-Notes,7/21/97 TJF - Students noted that 80% of the rock was covered with a mix of Verr. and Artho. and that Cyano covered 100%(?). I interpreted this as Cyano - 20%  Verr - 40%  and Artho - 40%. I noted correction in red ink on original quad report form. 2/2008: MME: restored Cyanobacteria value to 100  left artho at 40...not terribly sure about this interpretation  but cerainly didn't want to have 140% black zone...,percent_cover
1991,15,5,3,yes,Z2-Notes,7/21/97 TJF - Students noted that 24% of the rock was covered with a mix of Verr. and Artho. I interpreted this as Verr - 12%  and Artho - 12%. I noted correction in red ink on original quad report form.,percent_cover
1991,15,7,1,yes,Z2-Notes,7/21/97 TJF - In this replicate  students did not differentiate %cover values among cyanobacteria  Artho  and Verrucaria  but simply noted that these three species covered 100% of the rock.,percent_cover
1991,15,7,2,yes,Z2-Notes,7/21/97 TJF - In this replicate  students did not differentiate %cover values among cyanobacteria  Artho  and Verrucaria  but simply noted that these three species covered 100% of the rock.,percent_cover
1991,15,8,1,yes,Z2-Notes,"7/21/97 TJF - Students noted that ""after the storm  about 24% of barnacles and mussels were torn away."" What storm? No exact date of quadrat measurement was given.",percent_cover
1991,15,9,3,yes,Z2-Notes,7/21/97 TJF Students recorded that Semibal & Mytilus made up 72% of the rock cover and noted in the ecology form that the distribution was fairly even  so I split the percentage evenly between the two and noted my judgement in red ink on quad report form.,percent_cover
1991,15,11,3,yes,Z2-Notes,7/21/97 TJF added a column for Spongomorpha canopy.,percent_cover
1991,15,12,1,yes,Z2-Notes,7/21/97 TJF - Primary cover added to over 100%  but students noted that Semibal and Mytilus were covering Hild. and Artho. Students noted a 55% cover of mix of Hild. and Artho.  so I reduced it to 45% and divided the percentage evenly between the two; 2/2008: MME: trying to revert to original values: split 55 evenly between Hild and Artho,percent_cover
1991,15,13,3,yes,Z2-Notes,7/21/97 TJF - Students noted that 12% of the rock was covered with a mix of Verr.  Hild.  and Artho. I interpreted this as Verr - 4%  Hild - 4%  and Artho - 4%. I noted correction in red ink on original quad report form.,percent_cover
1992,15,7,1,yes,Z2-Notes,7/21/97 TJF - I reduced Black Zone %cover from 80% to 37.5% because primary % cover exceeded 100% and students noted that it covered rock and baracles. I noted correction in red ink on original quad report;  2/2008: MME: corrected data to original numbers,percent_cover
1992,15,9,3,yes,Z2-Notes,7/21/97 TJF - I reduced Mytilus %cover from 98% to 96% because primary % cover exceeded 100%  and this may have been overestimated. I noted correction in red ink on original quad report;  2/2008: MME: corrected data to original numbers,percent_cover
1993,15,10,2,yes,Z2-Notes,7/18/97 TJF - Primary % cover added to 107%  so I reduced Hild. % cover from16% to 9%;  2/2008: MME: corrected data to original numbers,percent_cover
1994,15,8,2,yes,Z2-Notes,7/18/97 TJF - All primary cover organisms totalled 99% cover  and Mytilus was not assigned a % cover value (16 indiv. present).  I entered the F. distichus %cover (trace=0.5) as base and assigned 0.5% for Mytilus  noting it in red ink on quad report form.,percent_cover
1994,15,8,3,yes,Z2-Notes,"7/18/97 TJF - In some reps  these students interpret ""trace"" as 1% and  in others  as <1%. They entered ""trace"" for Hild. and F. distichus. I entered these as 1% because other values added to only 97%.",percent_cover
1994,15,9,1,yes,Z2-Notes,7/18/97 TJF - 119 Mytilus are present in the quadrat  but no %cover value is assigned to them. Perhaps  they are not covering primary substrate.,percent_cover
1994,15,9,2,yes,Z2-Notes,7/18/97 TJF - 126 Mytilus are present in the quadrat  but no %cover value is assigned to them even though the students notesd that they are gattached to the rock.,percent_cover
1994,15,9,3,yes,Z2-Notes,7/18/97 TJF - With 3% bare rock recorded  primary % cover totalled 104%  so I lowered the Mytilus % cover from 88% to 84% and noted correction in red ink on original quadrat form. Also  182 Semibal and 2 Modilous were noted as growing on Mytilus shells;  2/2008: MME: corrected data to original numbers,percent_cover
1994,15,10,1,yes,Z2-Notes,7/18/97 TJF - Primary %cover added to 103%  so I reduced Hild. from 12% to 9% because it was found in a crevice and may have been overgrown by Semibalanus;  2/2008: MME: corrected data to original numbers,percent_cover
1994,15,10,2,yes,Z2-Notes,"7/18/97 TJF - I reduced %cover of Mytilus from 88 to 87% so that primary %cover would add to 100%.  ""Trace"" amount of Modiolus was not included in primary %cover of rock even though some were attached to rock;  2/2008: MME: corrected data to original numbers",percent_cover
1994,15,11,1,yes,Z2-Notes,"7/18/97 TJF - 42 Semibal and a ""trace"" amount of Modiolus were present  but they were not primary cover; they settled on the mussels. Hild. was noted growing under mussel beds  and Artho. was noted growing on barnacle tests.",percent_cover
1994,15,11,2,yes,Z2-Notes,"7/18/97 TJF - A ""trace"" amount of Modiolus and Semibal were present  but they were not primary cover; they settled on the mussels. Hild. was noted growing under mussel beds  and Artho. was noted growing on barnacle tests.",percent_cover
1994,15,11,3,yes,Z2-Notes,7/18/97 TJF added Enteromorpha can. column.,percent_cover
1994,15,12,1,yes,Z2-Notes,7/18/97 TJF - 1 Semibal was present  but it was not primary cover; it was settled on the mussels.,percent_cover
1994,15,12,2,yes,Z2-Notes,7/18/97 TJF - 22 Semibal were present  and the students noted that they were growing on the Mytilus and on rock  but no primary %cover data was given for them.,percent_cover
1994,15,12,3,yes,Z2-Notes,"7/18/97 TJF - A ""trace"" amount of Modiolus was present  and the students noted that they were growing on the Mytilus and on rock  but no primary %cover data was given for them.",percent_cover
1994,15,13,1,yes,Z2-Notes,"7/18/97 TJF - 4 Semibal and a ""trace"" amount of Modiolus were present  but they were not primary cover; they settled on the mussels",percent_cover
1994,15,13,2,yes,Z2-Notes,"7/18/97 TJF - 6 Semibal and a ""trace"" amount of Modiolus were present  but they were not primary cover; they settled on the mussels",percent_cover
